"c..jensen....nielsen....hansen....pedersen....andersen....aps..." "c..jensen....nielsen....hansen....pedersen....andersen....aps....1" "c.29134L..27832L..24532L..17437L..16790L..15835L..13691L..12722L.."
"778" "agnete" "agnete" 301
"779" "bendixen" "bendixen" 301
"780" "bro" "bro" 301
"781" "hanna" "hanna" 301
"782" "jamal" "jamal" 300
"783" "kennet" "kennet" 300
"784" "mariann" "mariann" 300
"785" "albertsen" "albertsen" 299
"786" "ottesen" "ottesen" 299
"787" "steffan" "steffan" 299
"788" "bianca" "bianca" 298
"789" "conni" "conni" 298
"790" "ejnar" "ejnar" 298
"791" "christel" "christel" 297
"792" "elisa" "elisa" 297
"793" "lehmann" "lehmann" 297
"794" "elly" "elly" 296
"795" "frederikke" "frederikke" 296
"796" "julius" "julius" 296
"797" "strøm" "strom" 296
"798" "nørskov" "norskov" 295
"799" "schwartz" "schwartz" 295
"800" "benedikte" "benedikte" 294
"801" "rømer" "romer" 294
"802" "alexandra" "alexandra" 293
"803" "blomster" "blomster" 293
"804" "ludvigsen" "ludvigsen" 293
"805" "vilhelmsen" "vilhelmsen" 293
"806" "adnan" "adnan" 292
"807" "brodersen" "brodersen" 292
"808" "nicholas" "nicholas" 291
"809" "hermann" "hermann" 290
"810" "kastrup" "kastrup" 290
"811" "rie" "rie" 290
"812" "aziz" "aziz" 289
"813" "markussen" "markussen" 289
"814" "sami" "sami" 289
"815" "thorbjørn" "thorbjorn" 289
"816" "kommune" "kommune" 288
"817" "vera" "vera" 288
"818" "bentzen" "bentzen" 287
"819" "ebbesen" "ebbesen" 287
"820" "rahbek" "rahbek" 287
"821" "samir" "samir" 287
"822" "skriver" "skriver" 287
"823" "vester" "vester" 287
"824" "buus" "buus" 286
"825" "eli" "eli" 286
"826" "elizabeth" "elizabeth" 286
"827" "boysen" "boysen" 285
"828" "degn" "degn" 285
"829" "evald" "evald" 285
"830" "stephan" "stephan" 285
"831" "bagge" "bagge" 284
"832" "barbara" "barbara" 284
"833" "damm" "damm" 284
"834" "george" "george" 284
"835" "karoline" "karoline" 284
"836" "sofia" "sofia" 284
"837" "ellegaard" "ellegaard" 283
"838" "nicolas" "nicolas" 283
"839" "ploug" "ploug" 283
"840" "bentsen" "bentsen" 282
"841" "have" "have" 282
"842" "hugo" "hugo" 282
"843" "stina" "stina" 282
"844" "egede" "egede" 281
"845" "hein" "hein" 281
"846" "højer" "hojer" 281
"847" "media" "media" 281
"848" "michella" "michella" 281
